"Title","Author","Rating","Format","Price"
"Python Projects","Laura Cassell",3.5,"Paperback","25.55€"
"MySQL for Python","Albert Lukaszewski PhD",3.5,"Paperback","49.26€"
"Python for MBAs","Mattan Griffel",4.5,"Paperback","36.34€"
"LEARN Python","Dominique Sage",5,"Paperback","27.07€"
"Carpet Python","Ben Team",5,"Paperback","17.14€"
"Mastering Python","Rick van Hattem",3.5,"Paperback","40.64€"
"Problem Solving in Data Structures & Algorithms Using Python","Hemant Jain",5,"Paperback","32.03€"
"Learning OpenCV 4 Computer Vision with Python 3","Joseph Howse",4,"Paperback","36.33€"
"Modeling Techniques in Predictive Analytics with Python and R","Thomas Miller",4,"Hardback","64.84€"
"Bibliotheque Romane De La Suisse","Python","","Paperback","24.55€"
"Hands-On RESTful Python Web Services","Gaston C. Hillar",4,"Paperback","44.95€"
"Mastering Social Media Mining with Python","Marco Bonzanini",4.5,"Paperback","36.47€"
"Mastering Python Scripting for System Administrators","Ganesh Sanjiv Naik",2.5,"Paperback","44.95€"
"Learning the Pandas Library","Matt Harrison",4,"Paperback","23.39€"
"Learning Robotics using Python","Lentin Joseph",3.5,"Paperback","36.33€"
"Mastering Objectoriented Python","Steven F. Lott",4,"Paperback","34.35€"
"Treading on Python Volume 1","Matt Harrison",3.5,"Paperback","19.31€"
"Learning Data Mining with Python -","Robert Layton","","Paperback","44.95€"
"Think Bayes","Allen Downey",4,"Paperback","33.75€"
"Implementing Cryptography Using Python","Shannon W. Bray","","Paperback","29.86€"
"QGIS Python Programming Cookbook -","Joel Lawhead",3.5,"Paperback","46.95€"
"Learn Python Visually","Ivelin Demirov",5,"Paperback","28.53€"
"Learning Python for Forensics","Preston Miller","","Paperback","44.95€"
"Python Programming For Beginners","James Tudor",5,"Hardback","20.84€"
"Python para Todos","Juan Perez Castiallanos",3.5,"Paperback","14.77€"
"Python Crash Course","Jason Scratch","","Paperback","14.10€"
"Python For Data Analysis","Craig Berg","","Paperback","11.85€"
"Python Programming, Deep Learning","Anthony Adams",4.5,"Hardback","26.99€"
"Bioinformatics with Python Cookbook","Tiago Antao",1,"Paperback","40.64€"
"Monty Python The Complete Guide","Steve Pilkington",2,"Paperback","18.17€"
"OpenCV with Python By Example","Prateek Joshi",3.5,"Paperback","49.26€"
"Python Geospatial Development","Erik Westra",3.5,"Paperback","49.26€"
"Machine Learning with Python","Oliver Theobald",3.5,"Paperback","17.36€"
"Learn Web Development with Python","Fabrizio Romano",3,"Paperback","49.26€"
"A Day in Code- Python","Shari Eskenas",3,"Hardback","22.65€"
"Quantum Machine Learning with Python","Santanu Pattanayak","","Paperback","31.15€"
"Deep Reinforcement Learning with Python","Nimish Sanghi","","Paperback","37.62€"
"A Python Primer for ArcGIS(R)","Nathan Jennings",4.5,"Paperback","27.71€"
"Python for Data Science","Ethan Williams",4,"Paperback","23.39€"
"Python Crash Course","Eric Bader",2,"Paperback","14.77€"
"Advanced Python Programming","Dr. Gabriele Lanaro",3.5,"Paperback","44.95€"
"Mastering Python Networking","Eric Chou",3,"Paperback","49.26€"
"Python Testing Cookbook","Greg L. Turnquist",3,"Paperback","44.74€"
"Practical Python AI Projects","Serge Kruk","","Paperback","35.79€"
"QGIS Python Programming Cookbook","Joel Lawhead",3.5,"Paperback","49.26€"
"Writing Idiomatic Python 2.7.3","Jeff Knupp",4,"Paperback","25.12€"
"Learn Python Visually","Tristan Bunn","","Paperback","32.02€"
"Tiny Python Projects","Ken Youens-Clark",4,"Paperback","30.99€"
"Mastering Python for Finance","James Ma Weiming",3.5,"Paperback","49.13€"
"Python & Tkinter Programming","John Grayson",3.5,"Book","45.56€"
"Hands-On Recommendation Systems with Python","Rounak Banik",4,"Paperback","32.02€"
"Statistical Learning with Math and Python","Joe Suzuki","","Paperback","40.49€"
"Treading on Python Volume 2","Matt Harrison",4,"Paperback","22.97€"
"Beginner's Guide to Python Programming","Serhan Yamacli",4.5,"Paperback","19.08€"
"Foundational Python for Data Science","Kennedy Behrman","","Paperback","37.39€"
"Practical Machine Learning with Python","Dipanjan Sarkar",3,"Paperback","41.50€"
"Learn to Program with Python 3","Irv Kalb",4,"Paperback","29.42€"
"Practical Deep Learning","Ron Kneusel","","Paperback","37.67€"
"Django for Professionals","William S Vincent",4,"Paperback","38.92€"
"Hands-On GPU programming with CUDA C and Python 3 -","Dr. Brian Tuomanen","","Paperback",""
"40 Algorithms Every Programmer Should Know","Imran Ahmad",3,"Paperback","37.19€"
"Hands-On Data Science and Python Machine Learning","Frank Kane",3.5,"Paperback","40.64€"
"Beginning Python","James Payne",3,"Paperback","33.22€"
"Fast Python","Chris Conlan",5,"Paperback","16.32€"
"Python Algorithms","Magnus Lie Hetland",4,"Paperback","112.58€"
"The The Python Workshop","Andrew Bird",4,"Paperback","36.03€"
"Learning Python","Fabrizio Romano",4,"Paperback","42.90€"
"Python Crash Course","Eric Matthes",4.5,"Paperback",""
"Blueprints for Text Analytics using Python","Jens Albrecht",5,"Paperback","50.85€"
"Practical Machine Learning with R and Python","Tinniam V Ganesh",5,"Paperback","16.06€"
"MongoDB and Python","Niall O'Higgins",3.5,"Paperback","15.42€"
"The Python Workbook","Ben Stephenson",4.5,"Hardback","52.61€"
"Programacion en Python para Principiantes","Edsel Josef",5,"Paperback","18.22€"
"Raspberry Pi for Python Programmers Cookbook -","Tim Cox",4.5,"Paperback","36.60€"
"Huggy the Python Hugs Too Hard","Ame Dyckman",4,"Board book","11.12€"
"Machine Learning and Data Science Blueprints for Finance","Hariom Tatsat",3.5,"Paperback","44.10€"
"Python For Kids Ages 12 - 18","S Basu","","Paperback","8.09€"
"Crafting Test-Driven Software with Python","Alessandro Molina","","Paperback","44.95€"
"Numerical Methods in Engineering with Python 3","Jaan Kiusalaas",4.5,"Hardback","78.83€"
"Hands-On Deep Learning Algorithms with Python","Sudharsan Ravichandiran",5,"Paperback","36.33€"
"Beginning Anomaly Detection Using Python-Based Deep Learning","Sridhar Alla","","Paperback","28.14€"
"Python Natural Language Processing Cookbook","Zhenya Antic",3,"Paperback","38.92€"
"Python Coding ( Advanced Level ) For Kids","Tommy Harry Johnson","","Paperback","12.06€"
"Beginning Data Science with Python and Jupyter","Alex Galea",4,"Paperback","19.08€"
"ArcPy and ArcGIS - Geospatial Analysis with Python","Silas Toms",4,"Paperback","36.33€"
"Python for Probability, Statistics, and Machine Learning","Jose Unpingco",3.5,"Hardback","60.21€"
"Dive Into Algorithms","Bradford Tuckfield",4.5,"Paperback","32.28€"
"Python","Icode Academy",4,"Paperback","22.24€"
"Python","Maurice J Thompson",3.5,"Paperback","22.66€"
"Python","Andy Vickler","","Paperback","18.54€"
"Python","Joshua Welsh","","Paperback","33.47€"
"Python","Felix Alvaro",4,"Paperback","23.46€"
"Python","Steve Gold","","Paperback","19.08€"
"Python","Timothy C Needham","","Paperback","27.67€"
"Python","Charlie Masterson","","Paperback","31.16€"
"Python","Joseph Connor","","Paperback","23.39€"
"Python","Frad Willson","","Paperback","16.15€"
"Python","Daniel Geron","","Paperback","25.98€"
"Python","Hacking Studios","","Paperback","18.69€"
"Python","Kevin Lyn",3,"Paperback","14.95€"
"Python","Cooper Alvin","","Paperback","21.58€"
"Python","John Slavio",3,"Paperback","19.14€"
"Python","Gale Gabon","","Paperback","9.00€"
"Python","Maurice J Thompson",4,"Paperback","19.10€"
"Python","John Slavio","","Hardback","21.45€"
"Python","William Dimick","","Paperback","27.71€"
"Python","Andy Vickler","","Paperback","42.06€"
"Python","Josh Hugh Learning","","Paperback","19.94€"
"Python","Carlo Lucchese","","Paperback","16.76€"
"Python","Ken Fisher","","Paperback","19.08€"
"Python","Jon Stinkster",3,"Paperback","18.49€"
"Python","Darryl Barton","","Paperback","16.88€"
"Python","Lee Maxwell","","Paperback","14.35€"
"Python","Professor Mark Anderson","","Paperback","15.60€"
"Python","Robert Dwight","","Paperback","12.43€"
"Python","Charlie Masterson",3,"Paperback","17.72€"
"Python","Daniel Géron","","Paperback","24.95€"
"Python","Ryan Hutt",4.5,"Paperback","11.42€"
"Python","Pascal Romanov","","Paperback","15.35€"
"Python","Steve Geddis","","Paperback","17.89€"
"Python","Ethem Mining",4,"Paperback","27.70€"
"Python","Byron Francis",5,"Paperback","18.28€"
"Python","Max Green","","Paperback","38.05€"
"Python","Michael Kofler","","Paperback","22.52€"
"python","Tony F Charles","","Paperback","25.01€"
"Python","Computer Programming Academy",2,"Paperback","12.87€"
"Python","Robert D Moore","","Paperback","10.15€"
"Python","Jim Knowlton",2.5,"Paperback","43.21€"
"Python","Joshua Welsh","","Paperback","33.47€"
"Python","Felix Alvaro",4,"Paperback","23.46€"
"Python","Charlie Masterson","","Paperback","31.16€"
"Python","Joseph Connor","","Paperback","23.39€"
"Python","Ryan Hutt",4.5,"Paperback","11.42€"
"Python","Pascal Romanov","","Paperback","15.35€"
"Python","Steve Geddis","","Paperback","17.89€"
"Python","Ethem Mining",4,"Paperback","27.70€"
"Python","Max Green","","Paperback","38.05€"
"Python","Byron Francis",5,"Paperback","18.28€"
"Python","Computer Programming Academy",2,"Paperback","12.87€"
"python","Tony F Charles","","Paperback","25.01€"
"Python","Robert D Moore","","Paperback","10.15€"
"Python","Jim Knowlton",2.5,"Paperback","43.21€"
"Python","Michael Kofler","","Paperback","22.52€"
"Python","It Academy","","Paperback","15.74€"
"Python","Ronald Olsen","","Paperback","20.28€"
"Python","Charlie Masterson","","Paperback","15.83€"
"Python","Eprogramming",3,"Paperback","22.78€"
"Python","Daniel Géron","","Hardback","20.62€"
"Python","Daniel Géron","","Hardback","26.40€"
"Python","Devin Haines","","Paperback","12.56€"
"Python","Ethem Mining","","Paperback","31.35€"
"Python","Ronald Olsen","","Paperback","20.28€"
"Python","Marc Matthes","","Paperback","20.82€"
"Python","Mark Chen",3,"Paperback","19.94€"
"Python","Jason Scratch","","Hardback","25.30€"
"Python","John Mcmurphy","","Paperback","11.78€"
"Python","William Dimick","","Paperback","29.65€"
"Python","Barbara Somervill","","Hardback","26.99€"
"Python","Daniel E Miller","","Paperback","11.08€"
"Python","Alberto Ferrati","","Paperback","16.94€"
"Python","Ben Abner","","Paperback","15.62€"
"Python","Professor Mark Anderson",4.5,"Paperback","16.88€"
"Python","Matthew Eardley","","Paperback","7.62€"
"Python","James R. Parker","","Paperback","75.76€"
"Python","Michael Kofler","","Paperback","13.34€"
"Python","Charlie Masterson","","Paperback","22.30€"
"Python","Professor Mark Anderson","","Paperback","22.87€"
"Python","Daniel Géron","","Paperback","21.75€"
"Python","Charlie Masterson","","Paperback","22.76€"
"Python","Hacking Studios",2,"Paperback","18.44€"
"Python","Larry Lutz",3.5,"Paperback","17.69€"
"Python","Jamie Logan",3,"Paperback","14.80€"
"Python","Dr Michael Lombard","","Paperback","16.24€"
"Python","Cyberpunk Architects",5,"Paperback","9.86€"
"Python","Elite Tech Academy",5,"Paperback","17.01€"
"Python","Oliver R Simpson",5,"Hardback","40.41€"
"Python","Computer Programming Academy","","Paperback","20.10€"
"Python","Kevin Lioy","","Paperback","21.93€"
"Python","Daisy Allyn",4.5,"Hardback","21.43€"
"Python","Oscar R Frost","","Paperback","17.01€"
"Python","James R. Parker",4.5,"Mixed media product","50.08€"
"Python","Adam Roynon","","Paperback","28.45€"
"Python","Arthur Keane","","Paperback","15.90€"
"Python","Jitendra Singh","","Paperback","23.40€"
"The Python Language Reference","Guido Van Rossum",1,"Paperback","14.77€"
"Python GUI Programming Cookbook","Burkhard A. Meier",3,"Paperback","44.95€"
"Software Architecture with Python","Anand Balachandran Pillai",3.5,"Paperback","49.26€"
"Python Parallel Programming Cookbook","Giancarlo Zaccone",3.5,"Paperback","49.13€"
"The Blender Python API","Chris Conlan","","Paperback","37.67€"
"Python Digital Forensics Cookbook","Preston Miller","","Paperback","44.84€"
"Genetic Algorithms with Python","Clinton Sheppard",4.5,"Hardback","32.00€"
"The Python Bible Volume 5","Florian Dedov",4.5,"Paperback","9.80€"
"Machine Learning in Python","Bob Mather","","Hardback","19.21€"
"The Python Bible Volume 1","Florian Dedov",4.5,"Paperback","9.96€"
"Expert Python Programming -","Michal Jaworski",3.5,"Paperback","36.33€"
"Mastering Python Data Analysis","Magnus Vilhelm Persson","","Paperback","39.09€"
"Python Projects for Kids","Jessica Ingrassellino",4.5,"Paperback","36.33€"
"Writing Idiomatic Python 3.3","Jeff Knupp",4,"Paperback","32.02€"
"Mastering Python Design Patterns","Kamon Ayeva",3.5,"Paperback","44.95€"
"Machine Learning with Python","Jason Test","","Paperback","21.67€"
"Advanced Python Development","Matthew Wilkes",4.5,"Paperback","32.70€"
"Python Data Science Essentials","Alberto Boschetti",4,"Paperback","44.95€"
"Hands-On Web Scraping with Python","Anish Chapagain",4.5,"Paperback","36.33€"
"Bug Bounty Automation With Python","Syed Abuthahir",4,"Paperback","22.95€"
"Learning Data Mining with Python","Robert Layton",4,"Paperback","44.95€"
"80% Python in 20 Minutes","Weiran Ye",4,"Paperback","6.95€"
"Programming ArcGIS with Python Cookbook -","Eric Pimpler",4.5,"Paperback","36.33€"
"Python Machine Learning By Example","Yuxi (Hayden) Liu",4,"Paperback","36.33€"
"Introduction to Machine Learning with Python","William Gray",2,"Paperback","23.68€"
"Introduction to Radar with Python and MATLAB","Lee Andrew (Andy) Harrison","","Hardback","143.26€"
"Python Code Bank","Kshitij Jain","","Paperback","10.70€"
"Learn Python Programming","Phil J Hack","","Paperback","18.94€"
"Python Machine Learning","Samuel Burns","","Paperback","18.22€"
"Python para informaticos","Charles Russell Severance",4,"Paperback","14.77€"
"Python Without Fear","Brian Overland",4.5,"Paperback","33.31€"
"Monty Python FAQ","Brian Cogan",4,"Paperback","23.39€"
"Python Data Visualization Cookbook -","Igor Milovanovic",4,"Paperback","44.95€"
"Python Data Analysis","Ivan Idris",3.5,"Paperback","48.57€"
"Elementary Mechanics Using Python","Anders Malthe-Sorenssen",2.5,"Hardback","56.20€"
"Bayesian Analysis with Python","Osvaldo Martin",4,"Paperback","44.95€"
"Hands-On Genetic Algorithms with Python","Eyal Wirsansky",4.5,"Paperback","40.64€"
"Big Data Analysis with Python","Ivan Marin",4.5,"Paperback","32.02€"
